"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Candelario, Jeimer","600869","2022","467","324",0.217,0.226,-0.009000000000000008,0.361,0.392,-0.031000000000000028,0.277,0.295,-0.01799999999999996
"Iglesias, Jose","578428","2022","467","386",0.292,0.266,0.025999999999999968,0.38,0.325,0.05499999999999999,0.312,0.282,0.030000000000000027
"Walls, Taylor","670764","2022","466","291",0.172,0.194,-0.02200000000000002,0.285,0.317,-0.03200000000000003,0.252,0.274,-0.02200000000000002
"Stott, Bryson","681082","2022","466","340",0.234,0.237,-0.002999999999999975,0.358,0.352,0.006000000000000005,0.289,0.288,0.0010000000000000009
"Vogelbach, Daniel","596129","2022","461","273",0.238,0.235,0.0030000000000000027,0.433,0.447,-0.014000000000000012,0.349,0.354,-0.0050000000000000044
"Marsh, Brandon","669016","2022","461","272",0.245,0.227,0.017999999999999988,0.384,0.387,-0.0030000000000000027,0.296,0.292,0.0040000000000000036
"Crawford, Brandon","543063","2022","458","313",0.231,0.218,0.013000000000000012,0.344,0.358,-0.014000000000000012,0.289,0.292,-0.0030000000000000027
"Taylor, Michael A.","572191","2022","456","310",0.254,0.225,0.028999999999999998,0.357,0.372,-0.015000000000000013,0.297,0.294,0.0030000000000000027
"Taylor, Chris","621035","2022","454","245",0.221,0.195,0.025999999999999995,0.373,0.352,0.02100000000000002,0.298,0.28,0.01799999999999996
"Walsh, Jared","665120","2022","454","285",0.215,0.219,-0.0040000000000000036,0.374,0.383,-0.009000000000000008,0.278,0.282,-0.003999999999999948
"Hicks, Aaron","543305","2022","453","278",0.216,0.217,-0.0010000000000000009,0.313,0.338,-0.025000000000000022,0.292,0.302,-0.010000000000000009
"Stanton, Giancarlo","519317","2022","452","264",0.211,0.236,-0.024999999999999994,0.462,0.487,-0.024999999999999967,0.327,0.35,-0.022999999999999965
"Heim, Jonah","641680","2022","450","321",0.227,0.22,0.007000000000000006,0.399,0.37,0.029000000000000026,0.306,0.292,0.014000000000000012
"Suzuki, Seiya","673548","2022","446","290",0.262,0.243,0.019000000000000017,0.433,0.429,0.0040000000000000036,0.334,0.328,0.006000000000000005
"Kepler, Max","596146","2022","446","326",0.227,0.264,-0.037000000000000005,0.348,0.428,-0.08000000000000002,0.298,0.342,-0.04400000000000004
"Polanco, Jorge","593871","2022","445","284",0.235,0.249,-0.014000000000000012,0.405,0.47,-0.06499999999999995,0.333,0.363,-0.02999999999999997
