"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Waldschmidt, Ryan",814439,4.871808784483473,4.871808784483473,2.060438964379369,2.8113698201041055,,,,,,,1492,0,0,0,0,0,368,1124,0
"Garcia, Maikel",672580,4.870251847987002,4.870251847987002,4.152448201858868,0.008189252570628887,0.7096143935575053,,,,,,1764,0,0,0,1701,63,0,0,0
"DeLuca, Jonny",676356,4.775964883647276,4.775964883647276,5.07567903245827,-0.2997141488109958,,,,,,,1608,0,0,0,0,0,66,609,933
"Schneemann, Daniel",682177,4.731209453467143,4.731209453467143,4.7517911462327485,0.19525322776546616,-0.2158349205310713,,,,,,1796,0,0,267,728,132,3,636,30
"Guerrero Jr., Vladimir",665489,4.6591672320412165,4.6591672320412165,2.5838562570213828,,0.8311519511171629,1.2441590239026703,,,,,2615,0,2615,0,0,0,0,0,0
"Machado, Manny",592518,4.646919022308327,4.646919022308327,5.141572611602582,,-0.4946535892942563,,,,,,2877,0,0,0,2877,0,0,0,0
"Massey, Michael",686681,4.599666708098781,4.599666708098781,5.386117461613469,-0.12352819070298923,-0.6629225628116988,,,,,,2402,0,0,2333,6,0,60,0,3
"García, Adolis",666969,4.29795855103143,4.29795855103143,3.2646883876235195,1.0332701634079116,,,,,,,1713,0,0,0,0,0,0,24,1689
"Burger, Jake",669394,4.154168270125732,4.154168270125732,0.7568130101037119,,1.1927616905214817,2.204593569500542,,,,,3040,0,3040,0,0,0,0,0,0
"Lowe, Josh",666139,4.048757295446736,4.048757295446736,1.6369274181293458,2.4118298773173907,,,,,,,1747,0,0,0,0,0,1024,339,384
"Mitchell, Garrett",669003,4.006634065906454,4.006634065906454,5.081583389610997,-1.0749493237045433,,,,,,,2627,0,0,0,0,0,0,2627,0
"Tatis Jr., Fernando",665487,3.869359996699688,3.869359996699688,2.697878933925672,0.9349065149368349,0.23657454783718104,,,,,,3195,0,0,1017,0,0,0,0,2178
"Durbin, Caleb",702332,3.8383606313504526,3.8383606313504526,2.3382903720637724,,1.5000702592866815,,,,,,3052,0,0,0,3052,0,0,0,0
