pitch_type,pitch_name,p_throws,baseline_pitches,baseline_pa,velo_mean,velo_sd,ivb_mean,ivb_sd,hb_mean,hb_sd,spin_mean,spin_sd,ext_mean,ext_sd,zone_mean,zone_sd,chase_mean,chase_sd,whiff_mean,whiff_sd,csw_mean,csw_sd,xwoba_mean,xwoba_sd
FS,Split-Finger,R,756,202,86.4399470899471,3.814092654702266,2.5428571428571427,4.3180096329397895,-11.951746031746032,4.160847037943483,1416.602960969044,343.698247020112,6.660662251655629,0.410669487806293,0.3055555555555556,0.46094729219403485,0.38666666666666666,0.48745065647062064,0.33787465940054495,0.47363131033177275,0.2605820105820106,0.4392427920313001,0.27193626237623764,0.3599062693810247
KC,Knuckle Curve,L,58,17,81.86724137931034,2.0668127790201205,-7.98,3.783415332599286,-3.790344827586207,4.8064711370493605,2355.4827586206898,143.06264624335466,6.212068965517242,0.38936637065739393,0.3793103448275862,0.48945319317801955,0.4444444444444444,0.5039526306789694,0.2903225806451613,0.4614143753790638,0.2413793103448276,0.43165714251849846,0.40999729411764707,0.5297966990349653
KC,Knuckle Curve,R,323,78,81.94241486068111,3.43395038816083,-9.903529411764705,4.934813952602782,8.145510835913313,4.8183297119843855,2570.0712074303406,203.60933670757916,6.400928792569659,0.44453102289658214,0.3157894736842105,0.46555074472467284,0.36199095022624433,0.48166719924323376,0.28104575163398693,0.45098600077276974,0.23839009287925697,0.426760012447893,0.30993412820512817,0.43459375107903275
KN,Knuckleball,R,26,5,70.08846153846154,12.812941174393236,1.4307692307692306,5.199523765174593,0.5353846153846157,8.387663908750389,185.23076923076923,80.39368517106686,5.65,1.0565036677645754,0.2692307692307692,0.45234432086120485,0.21052631578947367,0.41885390829169555,0.5,0.5477225575051661,0.38461538461538464,0.4961389383568339,0.0224,0.05008792269599529
SI,Sinker,L,1243,356,93.16154465004023,2.9437947283727914,7.2609171359613836,4.957473266410004,15.421013676588897,2.915785446279256,2161.5849514563106,173.65863969805548,6.350362027353178,0.5677365128805113,0.5325824617860017,0.4991380737479212,0.2977624784853701,0.45766855048926863,0.12121212121212122,0.3266486973108126,0.27996781979082863,0.4491638310369018,0.36311931741573034,0.32219575745601703
SI,Sinker,R,3105,892,94.39700483091788,2.5460388518933414,7.485333333333333,4.843783496059763,-15.523323671497584,2.9757912022764326,2193.4446620959843,165.74736661434548,6.453146176185866,0.4219206693836248,0.5033816425120773,0.500069097272474,0.28793774319066145,0.4529488370052596,0.11644318983768526,0.32086886993387803,0.27246376811594203,0.44529891652240056,0.3715194630044843,0.3689502971786052
SL,Slider,L,966,258,84.81387163561077,3.322564419440102,1.7052173913043482,4.560645180285801,-4.0873291925465836,3.574102490233167,2377.9543094496366,212.9644392382401,6.3403726708074535,0.4373086149427178,0.4161490683229814,0.4931742112337987,0.374113475177305,0.4843227069178271,0.27419354838709675,0.44655737563729647,0.2753623188405797,0.4469280560021593,0.2617047868217054,0.33699890934052773
SL,Slider,R,2372,610,86.50033726812816,3.115903867027304,1.4269477234401358,4.287623607120629,4.534502529510961,4.255132922048852,2464.5758738277927,230.39852466587686,6.386897717666948,0.4462357615225333,0.37900505902192244,0.48524168255079064,0.3557365919891378,0.4788984939688264,0.3132209405501331,0.4640092943136112,0.29679595278246207,0.45694216324254183,0.2906763737704918,0.36475712796213716
ST,Sweeper,L,584,145,81.47448630136986,2.602765993376776,0.28191780821917817,3.8027656840035955,-14.129383561643836,4.196993732977467,2571.0275387263337,277.83501541748683,6.171404109589041,0.5742210005852267,0.4280821917808219,0.49522497279407596,0.3473053892215569,0.4768281552514887,0.33460076045627374,0.47275032982597076,0.351027397260274,0.47770065258989225,0.20983674482758624,0.31004734980724635
ST,Sweeper,R,1469,356,83.5357385976855,2.9152742688145983,1.3971953710006817,4.565723949218681,13.661865214431586,4.2806523804186565,2607.184903047091,222.40447758522305,6.354594962559564,0.4128236357396326,0.3961878829135466,0.4892708890002643,0.34047350620067646,0.47413578401000156,0.3052147239263804,0.4608518625652695,0.3063308373042886,0.4611258016133329,0.26524226404494383,0.3669432018910395
SV,Slurve,L,61,16,81.9655737704918,1.596755590345795,-2.6262295081967215,4.061847758485632,-11.29377049180328,5.315295590380158,2344.1147540983607,304.9152394989278,6.268852459016394,0.4345652937540217,0.45901639344262296,0.5024529991884243,0.3939393939393939,0.49619766344887317,0.2608695652173913,0.44897775854487965,0.4262295081967213,0.49863200838034916,0.2428125,0.41708036295978573
SV,Slurve,R,86,20,81.03139534883721,2.6059778170653987,-7.120465116279069,3.261113453652347,14.155813953488373,3.6475192101631073,2751.5581395348836,328.3429199032858,5.91046511627907,0.12744463136173095,0.3372093023255814,0.475529800297807,0.2631578947368421,0.4442616583193193,0.2903225806451613,0.46141437537906377,0.29069767441860467,0.45674755724946314,0.33409885,0.43871106947406924
