"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Alvarez, Francisco","682626","2023","423","273",0.209,0.204,0.0050000000000000044,0.437,0.428,0.009000000000000008,0.31,0.306,0.0040000000000000036
"Rojas, Miguel","500743","2023","423","344",0.236,0.247,-0.01100000000000001,0.322,0.338,-0.016000000000000014,0.271,0.286,-0.014999999999999958
"Kirk, Alejandro","672386","2023","422","329",0.25,0.252,-0.0020000000000000018,0.358,0.392,-0.03400000000000003,0.308,0.321,-0.013000000000000012
"Peralta, David","444482","2023","422","328",0.259,0.272,-0.013000000000000012,0.381,0.407,-0.025999999999999968,0.29,0.312,-0.02200000000000002
"Rizzo, Anthony","519203","2023","421","277",0.244,0.244,0,0.378,0.4,-0.02200000000000002,0.312,0.32,-0.008000000000000007
"Grossman, Robbie","543257","2023","420","263",0.238,0.221,0.016999999999999987,0.394,0.356,0.038000000000000034,0.323,0.308,0.015000000000000013
"Kemp, Tony","643393","2023","419","329",0.209,0.239,-0.03,0.304,0.326,-0.02200000000000002,0.276,0.299,-0.022999999999999965
"Gomes, Yan","543228","2023","419","308",0.267,0.259,0.008000000000000007,0.408,0.414,-0.006000000000000005,0.312,0.322,-0.010000000000000009
"Kelenic, Jarred","672284","2023","416","242",0.253,0.26,-0.007000000000000006,0.419,0.439,-0.020000000000000018,0.321,0.333,-0.01200000000000001
"Greene, Riley","682985","2023","416","266",0.288,0.286,0.0020000000000000018,0.447,0.507,-0.06,0.344,0.367,-0.02300000000000002
"Stanton, Giancarlo","519317","2023","415","248",0.191,0.212,-0.02099999999999999,0.42,0.47,-0.04999999999999999,0.297,0.326,-0.029000000000000026
"Blackmon, Charlie","453568","2023","413","308",0.279,0.267,0.01200000000000001,0.44,0.41,0.030000000000000027,0.35,0.339,0.010999999999999954
"Altuve, Jose","514888","2023","410","290",0.311,0.241,0.07,0.522,0.423,0.09900000000000003,0.393,0.332,0.061
"Wiemer, Joey","686894","2023","410","253",0.204,0.206,-0.0020000000000000018,0.362,0.374,-0.01200000000000001,0.284,0.29,-0.006000000000000005
"Ward, Taylor","621493","2023","409","282",0.253,0.251,0.0020000000000000018,0.421,0.437,-0.016000000000000014,0.329,0.34,-0.01100000000000001
"Castro, Willi","650489","2023","409","264",0.257,0.228,0.028999999999999998,0.411,0.365,0.045999999999999985,0.327,0.302,0.025000000000000022
"Julien, Edouard","666397","2023","408","214",0.263,0.228,0.035,0.459,0.426,0.03300000000000003,0.366,0.343,0.022999999999999965
"Kiermaier, Kevin","595281","2023","408","289",0.265,0.256,0.009000000000000008,0.419,0.352,0.067,0.32,0.299,0.02100000000000002
"Maldonado, Martín","455117","2023","407","235",0.191,0.185,0.006000000000000005,0.348,0.362,-0.014000000000000012,0.266,0.269,-0.0030000000000000027
"Andrus, Elvis","462101","2023","406","306",0.251,0.229,0.021999999999999992,0.358,0.316,0.04199999999999998,0.29,0.27,0.019999999999999962
"Raley, Luke","670042","2023","406","232",0.249,0.222,0.026999999999999996,0.49,0.442,0.04799999999999999,0.353,0.328,0.024999999999999967
"Grandal, Yasmani","518735","2023","405","279",0.234,0.22,0.014000000000000012,0.339,0.334,0.0050000000000000044,0.288,0.282,0.006000000000000005
