"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Urías, Ramón",602104,5.879039548796775,5.879039548796775,4.5868741959822685,0.23955696772793791,1.052608385086569,,,,,2869,0,0,441,2308,120,0,0,0
"Peterson, Jace",607054,5.781106035835564,5.781106035835564,4.703175921709856,0.6151831116012416,0.4627470025244681,,,,,2244,0,84,24,1845,0,54,0,234
"Azocar, José",640492,5.772064598810688,5.772064598810688,6.2684279832752035,-0.4963633844645154,,,,,,1604,0,0,0,0,0,198,724,682
"Rodríguez, Julio",677594,5.758100530940299,5.758100530940299,6.097978230157643,-0.3398776992173441,,,,,,3380,0,0,0,0,0,0,3380,0
"Taylor, Tyrone",621438,5.618790359457145,5.618790359457145,6.192204164404554,-0.5734138049474123,,,,,,2812,0,0,0,0,0,291,2007,514
"Bader, Harrison",664056,5.481913354958285,5.481913354958285,5.817205759363484,-0.33529240440520147,,,,,,2095,0,0,0,0,0,0,2095,0
"Bellinger, Cody",641355,5.362960586373153,5.362960586373153,5.528213920793198,-0.16525333442004442,,,,,,3669,0,0,0,0,0,0,3669,0
"Bregman, Alex",608324,5.301503982216714,5.301503982216714,3.3993617327557697,,1.9021422494609477,,,,,4081,0,0,0,4081,0,0,0,0
"Bogaerts, Xander",593428,5.219044778039759,5.219044778039759,3.792552609362489,1.0360617125755933,0.39043045610167587,,,,,3749,0,0,0,0,3749,0,0,0
"Serven, Brian",661531,5.173254393826795,,,,,5.173254393826795,5.42523092173636,-0.47801617179263683,0.22603964388307626,1461,1452,6,0,0,0,0,0,0
"Gonzalez, Marwin",503556,5.151938704475,5.151938704475,5.7307820362522355,-0.2504271619923587,-0.3284161697848798,,,,,1511,0,294,10,232,404,276,0,294
"Biggio, Cavan",624415,5.125532776002268,5.125532776002268,5.476933545710673,0.1107323594288621,-0.4621331291372651,,,,,1954,0,786,961,24,0,48,0,135
"Judge, Aaron",592450,4.873651563381841,4.873651563381841,2.248523276317294,2.6251282870645483,,,,,,3373,0,0,0,0,0,0,1898,1475
"Miller, Owen",680911,4.8030921431557605,4.8030921431557605,4.352456220317256,,0.4506359228385053,,,,,2569,0,1914,634,21,0,0,0,0
"Kim, Ha-Seong",673490,4.792882599638793,4.792882599638793,4.294031802161843,-0.05542039706413467,0.5542711945410815,,,,,3790,0,0,0,514,3276,0,0,0
"McNeil, Jeff",643446,4.697385721178807,4.697385721178807,5.119446971288387,0.31748705182663906,-0.7395483019362235,,,,,3624,0,0,2532,3,0,813,0,276
"Crawford, Brandon",543063,4.631892147576453,4.631892147576453,5.546918166045916,0.9253213501795255,-1.840347368648989,,,,,2937,0,0,0,0,2937,0,0,0
"Paredes, Isaac",670623,4.5970080136898135,4.5970080136898135,3.8991704565096423,-0.013454263616988956,0.7112918207971581,,,,,2411,0,479,839,1087,6,0,0,0
"Kwan, Steven",680757,4.575948153973749,4.575948153973749,6.376514238657434,-1.8005660846836886,,,,,,3608,0,0,0,0,0,3059,90,459
"Bethancourt, Christian",542194,4.532529602755176,1.4464476961906505,1.2007644848442132,,0.24568321134643717,3.086081906564528,1.168303662508774,2.318454039966596,-0.4006757959108432,1986,1218,747,0,9,0,0,0,0
"Taveras, Leody",665750,4.528607014107467,4.528607014107467,3.805819781622484,0.7227872324849822,,,,,,2297,0,0,0,0,0,0,2297,0
"Marsh, Brandon",669016,4.487391799876301,4.487391799876301,6.85030252505124,-2.3629107251749395,,,,,,3127,0,0,0,0,0,1781,1295,51
"Donaldson, Josh",518626,4.479886414761539,4.479886414761539,4.384432336001817,,0.09545407875972194,,,,,2708,0,0,0,2708,0,0,0,0
"Maldonado, Martín",455117,4.376055770687688,,,,,4.376055770687688,0.08383975497789459,4.01046521424971,0.2817508014600847,2846,2846,0,0,0,0,0,0,0
"Betts, Mookie",605141,4.352021970431008,4.352021970431008,2.2436426083195267,1.8265205387336318,0.2818588233778495,,,,,3601,0,0,138,0,0,0,0,3463
"DeJong, Paul",657557,4.308464271398015,4.308464271398015,3.6350740399450303,0.17766064338955942,0.49572958806342726,,,,,1632,0,0,21,0,1611,0,0,0
"Vargas, Ildemaro",545121,4.126427991393156,4.126427991393156,5.071849027829828,-0.006320632649532446,-0.9391004037871418,,,,,1550,0,0,69,1116,362,0,0,0
"Frazier, Adam",624428,4.082933857186836,4.082933857186836,3.6862585969120465,0.5037893132982905,-0.10711405302350319,,,,,3618,0,0,2975,0,57,297,15,274
"Vázquez, Christian",543877,4.022587393797804,-1.8166093360542943,-1.8166093360542943,,,5.839196729852096,5.504500219875136,-0.9497918490559555,1.2844883590329133,2754,2610,141,3,0,0,0,0,0
"Pache, Cristian",665506,3.8943142843751373,3.8943142843751373,5.250234029149729,-1.3559197447745923,,,,,,1939,0,0,0,0,0,0,1939,0
"Altuve, Jose",514888,3.799306249687111,3.799306249687111,0.9581343903692908,0.2849878011043389,2.556184058213481,,,,,3451,0,0,3451,0,0,0,0,0
"Wendle, Joey",621563,3.7615902517117057,3.7615902517117057,2.220466294232809,0.011189156534774623,1.5299348009441203,,,,,2290,0,0,676,914,700,0,0,0
"Duvall, Adam",594807,3.7521447897081823,3.7521447897081823,4.055676253909388,-0.3035314642012051,,,,,,2128,0,0,0,0,0,712,1146,270
"Nimmo, Brandon",607043,3.7317565882926016,3.7317565882926016,5.4710443223827,-1.7392877340901014,,,,,,3847,0,0,0,0,0,0,3847,0
"McGuire, Reese",624512,3.5940202827166168,,,,,3.5940202827166168,2.9559061690096917,1.4390410129944573,-0.8009268992875317,1887,1884,0,0,0,0,0,0,0
"Merrifield, Whit",593160,3.408799915356772,3.408799915356772,3.6183616306945527,-1.4186163032448522,1.2090545879070635,,,,,3230,0,24,1903,0,0,79,360,861
"Caratini, Victor",605170,3.3979441671445376,0.02875113358186747,0.02875113358186747,,,3.36919303356267,2.3181182727394267,0.8523804822451861,0.19869427857805716,2102,2072,27,0,0,0,0,0,0
"Albies, Ozzie",645277,3.02961104823547,3.02961104823547,2.6826873207193653,0.3595312580030614,-0.012607530486955943,,,,,1663,0,0,1663,0,0,0,0,0
"Robert Jr., Luis",673357,3.0004882125060828,3.0004882125060828,2.12337062596134,0.8771175865447423,,,,,,2345,0,0,0,0,0,0,2345,0
"Celestino, Gilberto",665482,2.987640412420223,2.987640412420223,1.3414390810561978,1.6462013313640276,,,,,,2427,0,0,0,0,0,384,1911,132
"Santana, Carlos",467793,2.9743451881118705,2.9743451881118705,2.605670855643197,,0.3686743324686729,,,,,1969,0,1966,0,0,0,0,0,3
"Velazquez, Andrew",623205,2.854580429742312,2.854580429742312,2.0095674796522993,0.313659297048286,0.5313536530417262,,,,,2718,0,0,0,0,2718,0,0,0
"Barnes, Austin",605131,2.8238583048928136,,,,,2.8238583048928136,4.011378049519951,-2.093534086804168,0.90601434217703,1464,1461,0,3,0,0,0,0,0
